Date,Variacion_IPC,IPC_suma
1961-02-01,-0.8,-0.8
1961-03-01,-0.4,-1.2000000000000002
1961-04-01,0.3,-0.9000000000000001
1961-05-01,-0.3,-1.2000000000000002
1961-06-01,-0.5,-1.7000000000000002
1961-07-01,0.0,-1.7000000000000002
1961-08-01,0.2,-1.5000000000000002
1961-09-01,0.1,-1.4000000000000001
1961-10-01,0.4,-1.0
1961-11-01,1.6,0.6000000000000001
1961-12-01,0.2,0.8
1962-01-01,-0.2,0.6000000000000001
1962-02-01,0.5,1.1
1962-03-01,0.9,2.0
1962-04-01,1.4,3.4
1962-05-01,1.3,4.7
1962-06-01,0.5,5.2
1962-07-01,0.0,5.2
1962-08-01,-0.2,5.0
1962-09-01,0.6,5.6
1962-10-01,1.0,6.6
1962-11-01,2.6,9.2
1962-12-01,1.3,10.5
1963-01-01,0.2,10.7
1963-02-01,0.8,11.5
1963-03-01,1.9,13.4
1963-04-01,-0.1,13.3
1963-05-01,0.6,13.9
1963-06-01,-1.8,12.1
1963-07-01,1.1,13.2
1963-08-01,1.0,14.2
1963-09-01,-0.2,14.0
1963-10-01,0.3,14.3
1963-11-01,1.3,15.600000000000001
1963-12-01,0.4,16.0
1964-01-01,-0.2,15.8
1964-02-01,0.1,15.9
1964-03-01,0.3,16.2
1964-04-01,0.4,16.599999999999998
1964-05-01,0.3,16.9
1964-06-01,1.3,18.2
1964-07-01,2.2,20.4
1964-08-01,1.6,22.0
1964-09-01,1.0,23.0
1964-10-01,1.6,24.6
1964-11-01,2.3,26.900000000000002
1964-12-01,1.2,28.1
1965-01-01,1.0,29.1
1965-02-01,1.7,30.8
1965-03-01,0.8,31.6
1965-04-01,0.7,32.300000000000004
1965-05-01,0.4,32.7
1965-06-01,-0.4,32.300000000000004
1965-07-01,0.1,32.400000000000006
1965-08-01,0.5,32.900000000000006
1965-09-01,1.0,33.900000000000006
1965-10-01,0.5,34.400000000000006
1965-11-01,2.2,36.60000000000001
1965-12-01,0.6,37.20000000000001
1966-01-01,-0.2,37.00000000000001
1966-02-01,-0.1,36.900000000000006
1966-03-01,0.0,36.900000000000006
1966-04-01,1.0,37.900000000000006
1966-05-01,1.5,39.400000000000006
1966-06-01,0.2,39.60000000000001
1966-07-01,-0.1,39.50000000000001
1966-08-01,0.2,39.70000000000001
1966-09-01,-0.3,39.40000000000001
1966-10-01,0.6,40.000000000000014
1966-11-01,1.7,41.70000000000002
1966-12-01,0.6,42.30000000000002
1967-01-01,0.1,42.40000000000002
1967-02-01,0.8,43.20000000000002
1967-03-01,0.4,43.600000000000016
1967-04-01,1.4,45.000000000000014
1967-05-01,0.3,45.30000000000001
1967-06-01,-0.9,44.40000000000001
1967-07-01,0.1,44.500000000000014
1967-08-01,1.5,46.000000000000014
1967-09-01,0.3,46.30000000000001
1967-10-01,0.4,46.70000000000001
1967-11-01,2.1,48.80000000000001
1967-12-01,0.0,48.80000000000001
1968-01-01,0.3,49.10000000000001
1968-02-01,0.0,49.10000000000001
1968-03-01,1.0,50.10000000000001
1968-04-01,0.9,51.00000000000001
1968-05-01,-0.3,50.70000000000001
1968-06-01,0.3,51.00000000000001
1968-07-01,-0.8,50.20000000000001
1968-08-01,0.1,50.30000000000001
1968-09-01,-0.2,50.10000000000001
1968-10-01,0.3,50.400000000000006
1968-11-01,0.7,51.10000000000001
1968-12-01,0.7,51.80000000000001
1969-01-01,-0.2,51.60000000000001
1969-02-01,-0.6,51.00000000000001
1969-03-01,0.6,51.60000000000001
1969-04-01,1.2,52.80000000000001
1969-05-01,0.0,52.80000000000001
1969-06-01,-1.2,51.60000000000001
1969-07-01,0.8,52.400000000000006
1969-08-01,0.3,52.7
1969-09-01,0.2,52.900000000000006
1969-10-01,0.4,53.300000000000004
1969-11-01,0.9,54.2
1969-12-01,1.1,55.300000000000004
1970-01-01,0.5,55.800000000000004
1970-02-01,-0.4,55.400000000000006
1970-03-01,0.8,56.2
1970-04-01,0.6,56.800000000000004
1970-05-01,-0.7,56.1
1970-06-01,0.4,56.5
1970-07-01,1.9,58.4
1970-08-01,1.6,60.0
1970-09-01,0.5,60.5
1970-10-01,1.0,61.5
1970-11-01,0.3,61.8
1970-12-01,0.3,62.099999999999994
1971-01-01,1.1,63.199999999999996
1971-02-01,-0.1,63.099999999999994
1971-03-01,1.1,64.19999999999999
1971-04-01,1.1,65.29999999999998
1971-05-01,0.6,65.89999999999998
1971-06-01,0.4,66.29999999999998
1971-07-01,0.0,66.29999999999998
1971-08-01,0.2,66.49999999999999
1971-09-01,1.2,67.69999999999999
1971-10-01,1.1,68.79999999999998
1971-11-01,1.4,70.19999999999999
1971-12-01,1.3,71.49999999999999
1972-01-01,0.1,71.59999999999998
1972-02-01,-0.1,71.49999999999999
1972-03-01,1.0,72.49999999999999
1972-04-01,0.0,72.49999999999999
1972-05-01,0.5,72.99999999999999
1972-06-01,0.2,73.19999999999999
1972-07-01,1.4,74.6
1972-08-01,1.0,75.6
1972-09-01,1.4,77.0
1972-10-01,0.7,77.7
1972-11-01,0.2,77.9
1972-12-01,0.8,78.7
1973-01-01,0.7,79.4
1973-02-01,0.2,79.60000000000001
1973-03-01,0.8,80.4
1973-04-01,1.4,81.80000000000001
1973-05-01,1.5,83.30000000000001
1973-06-01,1.5,84.80000000000001
1973-07-01,1.1,85.9
1973-08-01,1.6,87.5
1973-09-01,1.7,89.2
1973-10-01,1.6,90.8
1973-11-01,0.1,90.89999999999999
1973-12-01,1.1,91.99999999999999
1974-01-01,0.6,92.59999999999998
1974-02-01,0.3,92.89999999999998
1974-03-01,2.2,95.09999999999998
1974-04-01,2.2,97.29999999999998
1974-05-01,1.3,98.59999999999998
1974-06-01,0.4,98.99999999999999
1974-07-01,1.2,100.19999999999999
1974-08-01,1.7,101.89999999999999
1974-09-01,1.6,103.49999999999999
1974-10-01,1.1,104.59999999999998
1974-11-01,2.8,107.39999999999998
1974-12-01,1.4,108.79999999999998
1975-01-01,1.4,110.19999999999999
1975-02-01,1.0,111.19999999999999
1975-03-01,0.7,111.89999999999999
1975-04-01,1.8,113.69999999999999
