Date;Close;High;Low;Open;Volume
2004-02-03 05:00:00;40,97;40,987;40,819;40,987;231100
2004-02-04 05:00:00;39,879000000000005;39,879000000000005;39,753;39,753;51000
2004-02-05 05:00:00;40,047000000000004;40,047000000000004;39,753;39,954;2600
2004-02-06 05:00:00;40,214999999999996;40,760000000000005;40,214999999999996;40,760000000000005;1000
2004-02-09 05:00:00;40,836;40,962;40,650999999999996;40,718;3200
2004-02-10 05:00:00;40,987;40,987;40,844;40,844;200
2004-02-11 05:00:00;40,819;41,272000000000006;40,819;41,18;176400
2004-02-12 05:00:00;41,138;41,138;41,012;41,012;300
2004-02-13 05:00:00;41,163;41,163;40,466;40,466;1800
2004-02-17 05:00:00;40,836;41,088;40,836;41,088;500
2004-02-18 05:00:00;41,029;41,029;40,878;40,878;200
2004-02-19 05:00:00;40,878;40,878;40,878;40,878;0
2004-02-20 05:00:00;40,382;40,382;39,854;40,08;2400
2004-02-23 05:00:00;40,298;40,298;39,232;39,232;1300
2004-02-24 05:00:00;39,375;39,458999999999996;39,375;39,458999999999996;700
2004-02-25 05:00:00;39,660000000000004;39,660000000000004;39,626999999999995;39,626999999999995;3000
2004-02-26 05:00:00;39,626999999999995;39,626999999999995;39,626999999999995;39,626999999999995;100
2004-02-27 05:00:00;39,660000000000004;39,669;39,660000000000004;39,669;600
2004-03-01 05:00:00;40,131;40,131;40,131;40,131;1000
2004-03-02 05:00:00;40,298;40,45;40,047000000000004;40,047000000000004;3000
2004-03-03 05:00:00;39,534;39,669;39,534;39,669;6500
2004-03-04 05:00:00;39,904;39,904;39,904;39,904;100
2004-03-05 05:00:00;39,753;40,173;39,652;40,005;62400
2004-03-08 05:00:00;40,005;40,005;39,669;39,761;2400
2004-03-09 05:00:00;38,602999999999994;38,821;38,275;38,628;80700
2004-03-10 05:00:00;38,661;38,661;38,04;38,04;4000
2004-03-11 05:00:00;38,089999999999996;38,089999999999996;37,629000000000005;37,629000000000005;4000
2004-03-12 05:00:00;38,158;38,342;38,158;38,342;8700
2004-03-15 05:00:00;37,847;37,847;37,654;37,654;300
2004-03-16 05:00:00;37,864;37,864;37,696;37,696;1200
2004-03-17 05:00:00;38,333999999999996;38,418;38,333999999999996;38,418;1800
2004-03-18 05:00:00;37,931;38,124;37,864;38,124;400
2004-03-19 05:00:00;38,007;38,007;37,57;37,57;500
2004-03-22 05:00:00;36,89;36,89;36,756;36,772000000000006;20600
2004-03-23 05:00:00;37,275999999999996;37,318;36,915;36,915;12000
2004-03-24 05:00:00;37,259;37,259;37,259;37,259;500
2004-03-25 05:00:00;37,679;38,351;37,679;38,351;600
2004-03-26 05:00:00;38,284;38,493;38,284;38,493;2100
2004-03-29 05:00:00;38,687;38,838;38,653;38,762;1800
2004-03-30 05:00:00;38,762;38,762;38,762;38,762;0
2004-03-31 05:00:00;38,729;38,729;38,644999999999996;38,644999999999996;4800
2004-04-01 05:00:00;39,123000000000005;39,123000000000005;39,123000000000005;39,123000000000005;700
